,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Location,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu_over_sf),SiteEUIWN(kBtu_over_sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,SPD MCPP Areas,City Council Districts,SPD Beats,Zip Codes,NonRes,Compl,Outlier_ok,Anciennete,no_zero_floors,measure_floors,Intensité de consommation,log_PropertyGFATotal,log_PropertyGFAParking,log_PropertyGFABuilding(s),log_SiteEnergyUse(kBtu),log_SiteEnergyUseWN(kBtu),log_SiteEUI(kBtu_over_sf),log_SiteEUIWN(kBtu_over_sf),log_TotalGHGEmissions,log_GHGEmissionsIntensity,log_measure_floors,log_Anciennete,Address,City,State,ZipCode,Latitude,Longitude
1,2,2015,NonResidential,Hotel,PARAMOUNT HOTEL,659000220,"{'latitude': '47.61310583', 'longitude': '-122.33335756', 'human_address': '{""address"": ""724 PINE ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1996,1.0,11.0,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,,51.0,94.4,99.0,191.3,195.2,8354235.0,8765788.0,0.0,1144563.0,3905411.0,44490.0,4448985.0,0.0,263.51,2.38,No,,Compliant,,,14.0,,31.0,18081.0,1,1,,19,11.0,47512.52375040656,2,11.547964369614744,9.620063070336988,11.390780429610727,15.938279153880622,15.986366975319825,4.547541073151455,4.59511985013459,5.574091317925445,0.8671004876833833,10.768748613174392,2.9444389791664403,,,,,,
1,2,2016,NonResidential,Hotel,Paramount Hotel,0659000220,,7,DOWNTOWN,1996,1.0,11.0,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,,61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,950425.1875,3242851.0,51450.81641,5145082.0,,295.86,2.86,False,,Compliant,,,,,,,1,1,,20,11.0,47512.52375040656,2,11.547964369614744,9.620063070336988,11.390780429610727,15.942304683370711,15.974742352376657,4.551769441433971,4.5839465651646565,5.68988636946409,1.0508216248317612,10.768748613174392,2.995732273553991,724 Pine street,Seattle,WA,98101.0,47.61317,-122.33393
2,3,2016,NonResidential,Hotel,5673-The Westin Seattle,0659000475,,7,DOWNTOWN,1969,1.0,41.0,956110,196718,759392,Hotel,Hotel,756493.0,,,,,,43.0,96.0,97.69999695,241.8999939,244.1000061,72587024.0,73937112.0,21566554.0,14515435.0,49526664.0,14938.0,1493800.0,,2089.28,2.19,False,,Compliant,,,,,,,1,1,,47,41.0,241716.99619017588,2,13.770628248175832,12.189526510103947,13.540273392091745,18.10029673103805,18.11872545201371,4.564348191467836,4.5819015278307225,7.644574787998269,0.7839015438284094,12.395522883582858,3.8501476017100584,1900 5th Avenue,Seattle,WA,98101.0,47.61393,-122.3381
4,8,2015,NonResidential,Hotel,WARWICK SEATTLE HOTEL,659000970,"{'latitude': '47.6137544', 'longitude': '-122.3409238', 'human_address': '{""address"": ""401 LENORA ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1980,1.0,18.0,119890,12460,107430,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,,67.0,120.1,122.1,228.8,227.1,14829099.0,15078243.0,0.0,1777841.0,6066245.0,87631.0,8763105.0,0.0,507.7,4.02,No,,Compliant,,,56.0,,31.0,19576.0,1,1,,35,18.0,61591.92545034786,2,11.694329934701699,9.430278792341444,11.584594751660589,16.51210195704255,16.528763401819702,4.788324729085938,4.804840381116659,6.229890721953349,1.3912819026309295,11.028286060578335,3.5553480614894135,,,,,,
4,8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),0659000970,,7,DOWNTOWN,1980,1.0,18.0,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,,75.0,114.8000031,118.6999969,211.3999939,215.6000061,14172606.0,14656503.0,0.0,1573448.625,5368607.0,88039.98438,8803998.0,,505.01,2.88,False,,Compliant,,,,,,,1,1,,36,18.0,63503.56607171824,2,12.0758500584802,11.03488966402723,11.640262713431424,16.466821504425866,16.500394685721965,4.74319151088895,4.776599275499363,6.2245782310595015,1.0577902941478545,11.058851341913684,3.58351893845611,401 LENORA ST,Seattle,WA,98121.0,47.61375,-122.34047
10,15,2015,NonResidential,Hotel,HOTEL MONACO,942000145,"{'latitude': '47.60712147', 'longitude': '-122.33431932', 'human_address': '{""address"": ""1101 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1969,1.0,11.0,153163,19279,133884,,,,,,,,,48.0,101.1,107.2,200.8,205.2,14719853.0,15615929.0,3623542.0,1857347.0,6337531.0,47590.0,4759044.0,0.0,576.63,3.59,No,,Compliant,,,14.0,,19.0,18081.0,1,1,,46,11.0,60713.608888607196,2,11.939257992759025,9.866771699599468,11.80472903238118,16.504707684802096,16.56380204100582,4.616110126026426,4.674696248636701,6.357200812987149,1.2781522025001875,11.013923151072046,3.828641396489095,,,,,,
10,15,2016,NonResidential,Hotel,Hotel Monaco Seattle,0942000145,,7,DOWNTOWN,1969,1.0,11.0,153163,19279,133884,Hotel,Hotel,133884.0,,,,,,30.0,119.5999985,124.3000031,228.1999969,233.0,16016644.0,16646930.0,5237165.5,1813489.875,6187627.0,45918.5,4591850.0,,691.26,4.51,False,,Compliant,,,,,,,1,1,,47,11.0,60713.608888607196,2,11.939257992759025,9.866771699599468,11.80472903238118,16.589138989518958,16.62773637300545,4.784152828974725,4.8226980234563275,6.538516019278017,1.506297153514587,11.013923151072046,3.8501476017100584,1101 4th Avenue,Seattle,WA,98101.0,47.60695,-122.33414
11,16,2016,NonResidential,Hotel,5679-W Seattle,0942000165,,7,DOWNTOWN,1998,1.0,25.0,333176,61161,272015,Hotel,Hotel,336640.0,,,,,,36.0,80.0,80.40000153,199.0,199.3999939,26941110.0,27070114.0,5999360.5,5299838.5,18083049.0,28586.99805,2858700.0,,740.97,2.22,False,,Compliant,,,,,,,1,1,,18,25.0,115190.71456229928,2,12.716426157869101,11.021265010465248,12.513612490816415,17.10916393077029,17.113940872885642,4.382026634673881,4.387014195214771,6.607960138646554,0.7975071958841882,11.654344421237532,2.8903717578961645,1112 Fourth Avenue,Seattle,WA,98101.0,47.60713,-122.33323
11,16,2015,NonResidential,Hotel,W SEATTLE HOTEL,942000165,"{'latitude': '47.60718204', 'longitude': '-122.33347215', 'human_address': '{""address"": ""1112 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1998,1.0,25.0,333176,61161,272015,Hotel,Hotel,336640.0,,,,,,32.0,82.3,83.1,207.2,208.0,27717026.0,27970822.0,5426396.0,5585560.0,19058722.0,32327.0,3232700.0,0.0,723.4,1.93,No,,Compliant,,,14.0,,19.0,18081.0,1,1,,17,25.0,115190.71456229928,2,12.716426157869101,11.021265010465248,12.513612490816415,17.137557439373012,17.14667245337698,4.410371107683024,4.420044701861403,6.5839623195179975,0.6575200029167941,11.654344421237532,2.833213344056216,,,,,,
13,18,2015,NonResidential,Hotel,CROWNE PLAZA,942000235,"{'latitude': '47.60809326', 'longitude': '-122.33211517', 'human_address': '{""address"": ""1113 6TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1980,1.0,33.0,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,,56.0,77.2,77.2,183.2,183.2,22811690.0,22811690.0,4731090.0,4129637.0,14090906.0,39903.0,3990280.0,0.0,675.34,1.95,Yes,,Compliant,,,14.0,,19.0,18081.0,1,1,,35,33.0,124623.47849838977,2,12.66334558229709,10.961277846683982,12.462078275121403,16.942783681827287,16.942783681827287,4.3463994570307305,4.3463994570307305,6.515216267760106,0.6678293725756554,11.733052298550815,3.5553480614894135,,,,,,
